rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
67,665862,Jazz Chisholm,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,5,Bryce Miller,682243,R,48.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",43.9,37.3,38.2,81.9,80.0,20.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,1,"Last 7 games: 3/22, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.87,42.88,90.4,100.628,0.4012,0.1833,0.3068,73.41,34.28,53.1,29.42,21.2,0.1963,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
68,650490,Yandy Diaz,TB,ATH,2026-08-12T19:05:00Z,Scheduled,1,Jack Perkins,678022,R,48.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",41.6,42.9,30.9,88.7,50.0,64.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,33,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 11.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.46,49.28,91.6,103.2334,0.4527,0.1656,0.3565,73.71,38.14,22.62,20.21,19.4,0.1708,9.67,37.56,88.01,0.3832,0.1566,34.52,,,Sutter Health Park,
69,668804,Bryan Reynolds,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,3,Janson Junk,676083,R,48.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",45.4,43.3,21.5,92.1,75.0,10.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","switch hitter; pitcher baseline 7.9% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.73,46.14,90.78,101.8366,0.4344,0.1855,0.3457,72.55,28.23,40.08,25.32,15.3,0.1682,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
70,702616,Jackson Holliday,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,3,Zebby Matthews,805673,R,48.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",28.0,56.3,27.1,92.1,80.0,36.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","platoon edge; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.87,37.93,87.68,98.2674,0.383,0.1434,0.3189,70.6,7.62,36.32,25.17,9.3,0.1386,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
71,664983,Jake McCarthy,COL,AZ,2026-08-12T19:40:00Z,Scheduled,1,Merrill Kelly,518876,R,48.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",15.5,65.4,28.2,88.7,80.0,81.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.7% barrel, 23.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.16,27.18,84.98,96.759,0.4013,0.1364,0.3105,70.75,11.37,38.01,21.66,10.3,0.1879,11.68,43.99,90.2,0.5115,0.2265,26.29,,,Chase Field,
72,683734,Andrew Vaughn,MIL,SD,2026-08-12T20:10:00Z,Scheduled,3,Robbie Ray,592662,L,48.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",34.8,47.4,22.6,92.1,78.0,48.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,1,"Last 7 games: 7/22, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.66,43.64,90.2,100.0422,0.423,0.1521,0.3441,70.39,12.52,35.68,24.41,7.7,0.1661,8.69,39.87,89.67,0.4046,0.1695,33.87,,,Petco Park,
73,592518,Manny Machado,SD,MIL,2026-08-12T20:10:00Z,Scheduled,3,Dustin May,669160,R,48.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",50.6,42.2,22.6,92.1,50.0,19.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.22,46.67,91.5,101.9526,0.4509,0.1995,0.3375,74.64,44.65,40.01,28.64,24.2,0.1983,7.52,45.34,90.25,0.3992,0.1476,24.52,,,Petco Park,
74,676475,Alec Burleson,STL,PHI,2026-08-12T18:15:00Z,Scheduled,3,Zack Wheeler,554430,R,48.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",53.5,23.9,22.1,92.1,80.0,34.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,1,"Last 7 games: 5/22, 1 HR","platoon edge; pitcher baseline 6.4% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.97,47.27,91.56,101.9076,0.5172,0.2284,0.3716,73.14,33.02,44.03,27.75,18.7,0.1865,6.36,34.66,86.91,0.3151,0.1156,25.95,,,Busch Stadium,
75,701807,Carson Benge,NYM,ATL,2026-08-12T23:15:00Z,Scheduled,4,Tyler Mahle,641816,R,48.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",34.1,37.0,30.9,90.4,80.0,75.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.6,41.0,89.4,100.0693,0.441,0.158,0.343,70.9,17.2,32.2,25.6,13.0,0.138,7.3,36.89,89.48,0.3948,0.1502,27.68,,,Truist Park,
76,671739,Michael Harris,ATL,NYM,2026-08-12T23:15:00Z,Scheduled,5,Zac Thornton,804267,L,48.4,Longshot,Watch List,"Projected Lineup, Strong Barrel",48.0,42.0,30.9,81.9,50.0,37.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,0,Contact streak: 10/27 over last 7 games,"same-side matchup; pitcher baseline 8.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.57,48.02,90.76,103.479,0.4737,0.1879,0.3395,74.79,47.82,35.45,22.7,20.0,0.188,8.8,39.8,89.3,0.423,0.155,29.2,,,Truist Park,
77,681297,Colton Cowser,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,8,Zebby Matthews,805673,R,48.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",44.2,56.3,27.1,47.9,80.0,44.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,1,"Last 7 games: 5/17, 1 HR","platoon edge; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.58,40.61,88.17,100.6003,0.4117,0.2023,0.3133,74.37,44.29,37.96,33.27,11.1,0.1456,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
78,671218,Heliot Ramos,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,3,Bryce Miller,682243,R,48.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",49.0,37.3,38.2,92.1,50.0,0.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 14.2 HR allowed",EV profile; pitcher allows elevated contact,12.02,48.45,92.01,102.9076,0.4345,0.1806,0.3214,72.78,30.09,34.22,22.32,12.6,0.1524,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
79,686611,Dylan Crews,WSH,CHC,2026-08-12T22:45:00Z,Scheduled,1,David Peterson,656849,L,48.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",43.1,37.4,28.2,88.7,78.0,24.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,31,1,"Last 7 games: 5/31, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.36,42.34,90.33,101.2827,0.4175,0.1811,0.3175,73.69,35.69,34.08,28.61,10.0,0.1524,6.68,42.85,89.76,0.4182,0.1454,19.71,,,Nationals Park,
80,694249,Cole Carrigg,COL,AZ,2026-08-12T19:40:00Z,Scheduled,2,Merrill Kelly,518876,R,48.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",23.2,63.6,28.2,95.5,75.0,15.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","switch hitter; pitcher baseline 11.7% barrel, 23.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.1,32.1,86.9,98.164,0.402,0.139,0.334,73.8,39.4,46.7,28.5,5.0,0.202,11.68,43.99,90.2,0.5115,0.2265,26.29,,,Chase Field,
81,656555,Rhys Hoskins,CLE,DET,2026-08-12T22:40:00Z,Scheduled,5,Framber Valdez,664285,L,48.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",42.8,35.3,27.6,81.9,78.0,56.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.19,42.62,89.5,99.8961,0.3631,0.1753,0.3035,71.7,16.64,54.34,33.5,12.7,0.1972,6.28,43.99,90.1,0.3833,0.1325,19.23,,,Comerica Park,
82,664034,Ty France,SD,MIL,2026-08-12T20:10:00Z,Scheduled,4,Dustin May,669160,R,47.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",44.7,42.2,22.6,90.4,50.0,50.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,1,Contact streak: 8/24 over last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.94,47.21,91.39,101.2713,0.4362,0.1814,0.3287,71.77,18.97,36.78,25.11,14.0,0.194,7.52,45.34,90.25,0.3992,0.1476,24.52,,,Petco Park,
83,661388,William Contreras,MIL,SD,2026-08-12T20:10:00Z,Scheduled,4,Robbie Ray,592662,L,47.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",36.9,47.4,22.6,90.4,78.0,24.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.1,44.44,90.26,101.4547,0.4217,0.1646,0.3301,73.27,35.11,36.04,24.08,12.8,0.1278,8.69,39.87,89.67,0.4046,0.1695,33.87,,,Petco Park,
84,683737,Michael Busch,CHC,WSH,2026-08-12T22:45:00Z,Scheduled,3,Jackson Kent,800600,L,47.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",44.5,41.2,28.2,92.1,50.0,22.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,0,"Last 7 games: 8/30, 0 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.5,41.84,89.4,99.6515,0.4493,0.2048,0.3479,68.83,5.5,40.28,34.41,20.0,0.1808,,,,,,,,,Nationals Park,
85,663586,Austin Riley,ATL,NYM,2026-08-12T23:15:00Z,Scheduled,8,Zac Thornton,804267,L,47.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",51.7,42.0,30.9,47.9,78.0,32.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.75,46.07,91.32,102.7858,0.4111,0.1914,0.3069,75.83,59.01,39.31,30.94,14.6,0.1498,8.8,39.8,89.3,0.423,0.155,29.2,,,Truist Park,
86,647304,Josh Naylor,SEA,NYY,2026-08-12T23:05:00Z,Scheduled,5,Will Warren,701542,R,47.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.9,47.2,38.2,81.9,80.0,62.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.44,38.19,88.22,99.1766,0.4061,0.1359,0.325,70.41,11.33,41.64,23.62,13.0,0.1264,8.45,43.27,90.72,0.4225,0.1603,23.47,,,Yankee Stadium,
87,641857,Ryan McMahon,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,8,Bryce Miller,682243,R,47.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",49.0,37.3,38.2,47.9,80.0,47.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,1,"Last 7 games: 6/19, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.91,48.96,91.9,102.1757,0.4057,0.1751,0.3108,74.42,46.48,40.36,31.61,13.0,0.1607,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
88,516782,Starling Marte,KC,LAD,2026-08-13T02:10:00Z,Scheduled,5,Eric Lauer,641778,L,47.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.4,56.3,27.6,81.9,78.0,24.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,1,"Last 7 games: 3/19, 1 HR","platoon edge; pitcher baseline 10.4% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.3,36.69,87.6,100.4409,0.3791,0.1424,0.3003,72.63,31.38,33.0,18.0,4.1,0.0945,10.41,37.42,89.06,0.4596,0.2077,36.9,,,UNIQLO Field at Dodger Stadium,
89,650489,Willi Castro,COL,AZ,2026-08-12T19:40:00Z,Scheduled,7,Merrill Kelly,518876,R,46.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.5,63.6,28.2,59.8,75.0,37.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","switch hitter; pitcher baseline 11.7% barrel, 23.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.04,38.56,87.33,99.9813,0.3876,0.1547,0.3074,72.58,26.32,42.88,31.53,12.4,0.1533,11.68,43.99,90.2,0.5115,0.2265,26.29,,,Chase Field,
90,668904,Royce Lewis,MIN,BAL,2026-08-12T17:40:00Z,Scheduled,5,Shane Baz,669358,R,46.8,Longshot,Watch List,"Projected Lineup, Strong Barrel",44.0,40.3,27.1,81.9,50.0,52.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,1,Contact streak: 10/29 over last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.22,41.98,90.01,101.0147,0.4119,0.1726,0.3131,74.65,50.03,46.65,30.78,13.0,0.1748,7.47,41.36,89.98,0.3951,0.1483,24.94,,,Target Field,
91,691023,Jordan Walker,STL,PHI,2026-08-12T18:15:00Z,Scheduled,4,Zack Wheeler,554430,R,46.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",55.3,23.9,22.1,90.4,50.0,46.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,1,"Last 7 games: 9/29, 1 HR","same-side matchup; pitcher baseline 6.4% barrel, 15.5 HR allowed",EV profile; pitcher fly-ball pressure modest,12.58,48.11,92.51,104.7276,0.4484,0.1935,0.3312,78.87,83.19,38.45,23.56,17.9,0.1701,6.36,34.66,86.91,0.3151,0.1156,25.95,,,Busch Stadium,
92,646240,Rafael Devers,SF,HOU,2026-08-12T19:45:00Z,Scheduled,4,Bryan King,687911,L,46.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",57.4,24.9,19.3,90.4,50.0,32.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","same-side matchup; pitcher baseline 5.9% barrel, 7.9 HR allowed",EV profile; pitcher fly-ball pressure modest,12.5,52.46,92.8,103.1213,0.4548,0.2196,0.3376,71.74,20.51,33.91,32.9,27.3,0.2249,5.87,36.73,87.56,0.372,0.1294,20.12,,,Oracle Park,
93,681715,Heriberto Hernandez,MIA,PIT,2026-08-12T22:40:00Z,Scheduled,5,Carmen Mlodzinski,669387,R,46.6,Longshot,Watch List,"Projected Lineup, Strong Barrel",52.8,40.8,21.5,81.9,50.0,4.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,0,"Last 7 games: 4/27, 0 HR","same-side matchup; pitcher baseline 7.1% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.63,48.27,91.25,101.6432,0.4553,0.2124,0.3354,74.28,46.86,46.12,30.34,14.2,0.2035,7.08,44.72,90.48,0.4216,0.1448,23.67,,,loanDepot park,
94,668930,Brice Turang,MIL,SD,2026-08-12T20:10:00Z,Scheduled,2,Robbie Ray,592662,L,46.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",38.3,47.4,22.6,95.5,50.0,24.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.07,44.11,90.75,100.5246,0.4353,0.1761,0.3413,70.25,13.2,27.09,24.13,16.6,0.1729,8.69,39.87,89.67,0.4046,0.1695,33.87,,,Petco Park,
95,676724,Jared Young,NYM,ATL,2026-08-12T23:15:00Z,Scheduled,6,Tyler Mahle,641816,R,46.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",42.3,37.0,30.9,71.7,80.0,36.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,0,Contact streak: 9/25 over last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.38,46.16,88.59,101.3678,0.4217,0.1864,0.3191,73.37,33.67,38.74,25.48,6.1,0.2124,7.3,36.89,89.48,0.3948,0.1502,27.68,,,Truist Park,
96,694671,Wyatt Langford,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,2,George Klassen,691946,R,46.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",40.2,45.7,28.2,95.5,50.0,0.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,0,"Last 7 games: 2/21, 0 HR","same-side matchup; pitcher baseline 13.8% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.8,40.77,89.93,100.7026,0.4095,0.1771,0.3159,72.75,25.82,42.33,29.48,15.7,0.2061,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
97,669394,Jake Burger,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,6,George Klassen,691946,R,46.3,Longshot,Watch List,"Projected Lineup, Strong Barrel",47.5,45.7,28.2,71.7,50.0,17.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","same-side matchup; pitcher baseline 13.8% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.73,46.89,89.98,102.4928,0.415,0.183,0.3044,75.3,58.0,42.44,28.04,18.1,0.1781,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
98,682928,CJ Abrams,WSH,CHC,2026-08-12T22:45:00Z,Scheduled,4,David Peterson,656849,L,46.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",41.0,37.4,28.2,90.4,50.0,47.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,32,1,"Last 7 games: 10/32, 1 HR","same-side matchup; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.63,41.44,89.4,100.0606,0.4416,0.1854,0.3356,72.75,27.82,43.45,28.52,26.0,0.2355,6.68,42.85,89.76,0.4182,0.1454,19.71,,,Nationals Park,
99,687637,Dylan Beavers,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,5,Zebby Matthews,805673,R,45.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",28.8,56.3,27.1,81.9,80.0,3.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","platoon edge; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.78,35.7,88.59,99.2112,0.3786,0.1474,0.3181,72.27,20.14,40.67,30.34,2.6,0.117,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
100,695670,Harry Ford,WSH,CHC,2026-08-12T22:45:00Z,Scheduled,5,David Peterson,656849,L,45.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",37.7,37.4,28.2,81.9,78.0,31.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,15.27,33.13,85.92,97.3119,0.3168,0.171,0.2583,69.27,4.23,33.4,43.49,1.4,0.1799,6.68,42.85,89.76,0.4182,0.1454,19.71,,,Nationals Park,
